,Compound Name/PubChem ID,Binding_Affintiy
968,5281235,-7.014
969,119287,-7.272
970,439215,-6.757
971,15599640,-7.402
972,101761,-7.478
973,188947,-6.853
974,5276890,-6.738
975,92825,-7.446
976,246983,-7.492
977,446925,-6.762
978,85724901,-7.49
979,102066427,-7.12
980,57518366,-7.294
981,14526924,-7.468
982,176079,-7.337
983,12312990,-7.455
984,5281125,-6.726
985,849,-6.459
986,5281792,-7.372
987,5281252,-7.014
988,637775,-6.512
989,70699351,-7.148
990,70699355,-7.211
991,10742,-6.56
992,449093,-6.609
993,7427,-6.703
994,5281800,-5.515
995,135413566,-7.462
996,6440982,-7.0
997,5280899,-7.015
998,5281234,-7.014
999,72889,-6.433
1000,135405023,-6.078
1001,91746804,-7.312
1002,637540,-6.437
1003,129556,-6.197
1004,449171,-6.919
1005,21600402,-7.038
1006,2346,-6.525
1007,7504,-6.622
1008,5281327,-7.479
1009,119394,-7.479
1010,5283638,-7.402
1011,5281326,-7.402
1012,12795736,-7.402
1013,6036,-6.928
1014,94715,-6.757
1015,18950,-6.928
1016,135191,-6.681
1017,129649823,-7.508
1018,162639104,-7.065
1019,135403648,-5.922
1020,25310,-6.626
1021,124319,-7.467
1022,5471459,-7.374
1023,44559760,-7.561
1024,10426197,-7.018
1025,10470,-7.319
1026,129712240,-6.638
1027,72201063,-7.359
1028,338,-6.609
1029,5484202,-7.104
1030,241572,-7.467
1031,135444742,-5.85
1032,21226412,-6.491
1033,44423592,-7.426
1034,1045,-6.466
1035,131751343,-7.133
1036,543796,-7.426
1037,25256788,-6.537
1038,91886690,-7.15
1039,681,-6.577
1040,10248,-6.435
1041,702,-6.313
1042,520125,-6.694
1043,61293,-6.638
1044,7762,-6.619
1045,429065,-6.588
1046,71629,-6.71
1047,525,-6.581
1048,439260,-6.17
1049,5284607,-7.117
1050,1054,-6.163
1051,5202,-6.484
1052,6438482,-7.259
1053,127197,-6.583
1054,1102,-6.401
1055,5316860,-6.917
1056,12367,-6.487
1057,188431,-5.791
1058,46888324,-5.323
